entry_price,exit_price,lotes,entry_time,exit_time,pnl,pnl_pips,reason
144.286,144.564,0.04993,11779,11821,13.88007,2780.0,model_exit
144.349,144.69864,0.04992,11834,11854,17.45414,3496.42879,take_profit
144.585,144.703,0.04993,11926,11928,5.892,1180.0,model_exit
144.458,144.532,0.04992,11950,11961,3.69398,740.0,model_exit
144.31,144.624,0.04993,11970,12004,15.67676,3140.0,model_exit
144.461,144.578,0.04994,12013,12018,5.84246,1170.0,model_exit
144.532,144.717,0.04994,12019,12031,9.23822,1850.0,model_exit
144.469,144.28731,0.04993,12048,12051,-9.07223,-1816.94776,stop_loss
144.438,144.672,0.04948,12052,12063,11.57937,2340.0,model_exit
144.468,144.2865,0.04997,12116,12145,-9.07034,-1815.0275,stop_loss
144.353,144.53,0.04538,12219,12235,8.03177,1770.0,model_exit
144.256,144.568,0.04765,12240,12253,14.86709,3120.0,model_exit
143.843,143.66149,0.04996,12309,12312,-9.06743,-1815.08153,stop_loss
143.782,144.14028,0.04534,12327,12333,16.24299,3582.8048,take_profit
144.268,144.392,0.04625,12335,12339,5.73503,1240.0,model_exit
142.498,142.84226,0.04996,12477,12491,17.19953,3442.59672,take_profit
140.516,140.85721,0.04992,12620,12625,17.03453,3412.13479,take_profit
140.377,140.336,0.04993,12639,12642,-2.04698,-410.0,model_exit
139.626,139.44693,0.04533,12677,12692,-8.11824,-1790.72469,stop_loss
139.665,139.524,0.04536,12695,12711,-6.39628,-1410.0,model_exit
138.354,138.70986,0.04537,12732,12786,16.14638,3558.64997,take_profit
138.482,138.30523,0.04675,12789,12797,-8.26425,-1767.71224,stop_loss
138.379,138.7243,0.04951,12798,12813,17.09447,3453.01535,take_profit
138.336,138.15921,0.0467,12816,12817,-8.25712,-1767.933,stop_loss
138.148,137.96823,0.04719,12818,12855,-8.48356,-1797.685,stop_loss
137.554,137.37194,0.04536,12864,12865,-8.25802,-1820.5888,stop_loss
137.475,137.83279,0.04538,12866,12881,16.2372,3577.91386,take_profit
137.845,138.18951,0.04582,12882,12886,15.78398,3445.07708,take_profit
