time,open,high,low,close,tick_volume,spread,real_volume
2023-06-02 23:15:00,139.965,139.971,139.944,139.97,302,3,0
2023-06-02 23:30:00,139.969,139.977,139.96,139.971,315,3,0
2023-06-02 23:45:00,139.972,139.985,139.962,139.964,380,7,0
2023-06-05 00:00:00,139.947,139.952,139.947,139.952,9,56,0
2023-06-05 00:15:00,139.95,139.978,139.949,139.952,36,24,0
2023-06-05 00:30:00,139.952,139.978,139.947,139.951,48,23,0
2023-06-05 00:45:00,139.951,139.972,139.946,139.95,71,18,0
2023-06-05 01:00:00,139.942,140.097,139.941,140.013,512,3,0
2023-06-05 01:15:00,140.012,140.083,139.992,140.082,726,3,0
2023-06-05 01:30:00,140.082,140.095,140.035,140.053,558,3,0
2023-06-05 01:45:00,140.053,140.087,140.04,140.061,410,3,0
2023-06-05 02:00:00,140.061,140.142,140.061,140.134,652,2,0
2023-06-05 02:15:00,140.134,140.218,140.132,140.19,584,2,0
2023-06-05 02:30:00,140.19,140.246,140.175,140.242,737,2,0
2023-06-05 02:45:00,140.241,140.241,140.19,140.213,736,2,0
2023-06-05 03:00:00,140.214,140.224,140.093,140.114,1344,2,0
2023-06-05 03:15:00,140.114,140.185,140.082,140.157,1086,2,0
2023-06-05 03:30:00,140.157,140.263,140.157,140.189,1220,2,0
2023-06-05 03:45:00,140.188,140.189,140.099,140.113,1286,2,0
2023-06-05 04:00:00,140.113,140.144,140.033,140.094,1441,2,0
2023-06-05 04:15:00,140.094,140.116,140.06,140.062,1376,2,0
2023-06-05 04:30:00,140.062,140.081,140.023,140.071,1361,2,0
2023-06-05 04:45:00,140.071,140.173,140.061,140.131,1475,2,0
2023-06-05 05:00:00,140.132,140.149,140.102,140.123,1092,2,0
2023-06-05 05:15:00,140.122,140.193,140.112,140.176,1068,2,0
2023-06-05 05:30:00,140.176,140.238,140.174,140.199,767,2,0
2023-06-05 05:45:00,140.2,140.2,140.09,140.111,910,2,0
2023-06-05 06:00:00,140.111,140.118,140.07,140.088,823,2,0
2023-06-05 06:15:00,140.088,140.121,140.079,140.112,936,2,0
2023-06-05 06:30:00,140.116,140.116,139.997,140.013,933,2,0
2023-06-05 06:45:00,140.013,140.057,139.99,140.039,744,2,0
2023-06-05 07:00:00,140.041,140.146,140.04,140.12,1098,0,0
2023-06-05 07:15:00,140.12,140.137,140.078,140.079,812,0,0
2023-06-05 07:30:00,140.078,140.083,140.036,140.05,751,0,0
2023-06-05 07:45:00,140.05,140.106,140.037,140.086,578,0,0
2023-06-05 08:00:00,140.085,140.131,140.069,140.099,707,0,0
2023-06-05 08:15:00,140.099,140.11,140.038,140.058,634,0,0
2023-06-05 08:30:00,140.059,140.072,139.997,140.024,1098,0,0
2023-06-05 08:45:00,140.025,140.076,139.983,140.073,1227,0,0
2023-06-05 09:00:00,140.072,140.248,140.072,140.219,1842,0,0
2023-06-05 09:15:00,140.219,140.303,140.198,140.263,1183,0,0
2023-06-05 09:30:00,140.263,140.297,140.237,140.275,1250,0,0
2023-06-05 09:45:00,140.272,140.357,140.232,140.343,1143,0,0
2023-06-05 10:00:00,140.339,140.406,140.331,140.383,2114,0,0
2023-06-05 10:15:00,140.382,140.447,140.364,140.37,1753,0,0
2023-06-05 10:30:00,140.368,140.423,140.335,140.422,1779,0,0
2023-06-05 10:45:00,140.422,140.426,140.366,140.409,1374,0,0
2023-06-05 11:00:00,140.409,140.453,140.234,140.269,1674,0,0
2023-06-05 11:15:00,140.269,140.287,140.195,140.257,1335,0,0
2023-06-05 11:30:00,140.257,140.298,140.199,140.244,1395,0,0
2023-06-05 11:45:00,140.244,140.273,140.213,140.265,967,0,0
2023-06-05 12:00:00,140.265,140.321,140.264,140.292,1056,0,0
2023-06-05 12:15:00,140.289,140.351,140.275,140.312,796,0,0
2023-06-05 12:30:00,140.312,140.342,140.219,140.249,909,0,0
2023-06-05 12:45:00,140.249,140.284,140.228,140.266,851,0,0
2023-06-05 13:00:00,140.266,140.351,140.244,140.319,865,0,0
2023-06-05 13:15:00,140.322,140.382,140.299,140.368,574,0,0
2023-06-05 13:30:00,140.369,140.39,140.311,140.314,806,0,0
2023-06-05 13:45:00,140.314,140.327,140.248,140.278,619,0,0
2023-06-05 14:00:00,140.278,140.296,140.24,140.277,720,0,0
2023-06-05 14:15:00,140.282,140.359,140.275,140.352,758,0,0
2023-06-05 14:30:00,140.353,140.38,140.325,140.331,734,0,0
2023-06-05 14:45:00,140.331,140.346,140.231,140.265,785,0,0
2023-06-05 15:00:00,140.265,140.298,140.189,140.195,672,0,0
2023-06-05 15:15:00,140.196,140.279,140.189,140.228,730,0,0
2023-06-05 15:30:00,140.232,140.279,140.122,140.158,846,0,0
2023-06-05 15:45:00,140.159,140.259,140.14,140.165,1133,0,0
2023-06-05 16:00:00,140.166,140.192,140.094,140.172,1239,0,0
2023-06-05 16:15:00,140.171,140.171,140.036,140.052,1264,0,0
2023-06-05 16:30:00,140.054,140.208,140.054,140.181,1572,0,0
2023-06-05 16:45:00,140.18,140.183,139.939,140.014,1923,0,0
2023-06-05 17:00:00,139.938,139.938,139.305,139.325,4852,0,0
2023-06-05 17:15:00,139.326,139.429,139.25,139.35,2927,0,0
2023-06-05 17:30:00,139.351,139.458,139.337,139.453,2276,0,0
2023-06-05 17:45:00,139.454,139.68,139.442,139.662,2040,0,0
2023-06-05 18:00:00,139.663,139.717,139.614,139.624,1798,0,0
2023-06-05 18:15:00,139.624,139.659,139.594,139.653,1061,0,0
2023-06-05 18:30:00,139.653,139.779,139.647,139.709,1130,0,0
2023-06-05 18:45:00,139.707,139.763,139.644,139.645,884,0,0
2023-06-05 19:00:00,139.644,139.644,139.503,139.578,1013,0,0
2023-06-05 19:15:00,139.577,139.684,139.573,139.675,656,0,0
2023-06-05 19:30:00,139.677,139.745,139.659,139.718,564,0,0
2023-06-05 19:45:00,139.719,139.755,139.65,139.714,581,0,0
